timestamp,male,female,aufmacher
1589551840.8297093,33,15,0
1589555276.299793,26,16,1
1589559024.488229,24,16,1
1589562558.1520858,26,19,1
1589566040.6001756,28,18,1
1589569578.2888973,30,19,1
1589573209.0134413,29,17,1
1589576843.245761,28,16,1
1589580395.0196497,26,16,1
1589583952.9561334,26,16,1
1589588101.185351,25,16,1
1589591254.7820027,25,16,1
1589594851.3557467,25,16,1
1589598498.7638233,25,16,1
1589602035.8694627,25,16,1
1589605563.796103,25,16,1
1589609297.153722,25,18,1
1589612877.9931476,24,17,1
1589616382.9176676,25,19,1
1589620043.822473,28,19,1
1589623640.8188298,27,19,1
1589627197.4043558,27,18,1
1589630846.1024497,26,18,0
1589634382.9859793,27,19,1
1589638038.6644871,28,15,1
1589641531.69179,31,15,0
1589645229.2934265,30,15,1
1589648862.9395788,35,14,1
1589652438.441831,35,14,0
1589656045.2903836,31,16,0
1589659599.8779302,27,14,0
1589663171.422769,28,10,1
1589666876.8790302,28,10,1
1589670324.7969284,28,10,1
1589674526.6129224,28,10,1
1589677868.2441778,28,10,1
1589681189.1228073,28,10,1
1589684920.2290714,28,10,1
1589688621.0419447,28,10,1
1589691973.2188907,30,10,0
1589695633.6133916,29,11,0
1589699168.420929,30,11,0
1589702786.2534537,28,10,1
1589706372.4165843,25,12,1
1589709997.2925363,28,13,1
1589713610.422725,29,13,1
1589717226.2614956,29,13,1
1589720896.364247,30,14,1
1589724401.1260169,32,17,1
1589728004.7960305,30,16,0
1589731641.2072792,34,16,0
1589735182.4444277,36,18,1
1589738849.1013253,39,20,1
1589742383.9019766,39,21,0
1589746004.8910751,34,17,0
1589749538.117545,35,20,1
1589753157.0256639,37,20,1
1589756801.0119026,37,20,1
1589760925.864441,37,20,1
1589764269.837347,36,20,1
1589767582.2029855,36,20,1
1589771182.3120744,36,20,1
1589774879.7978396,35,21,1
1589778444.147219,35,22,0
1589781991.798747,36,22,0
1589785722.1578047,33,19,0
1589789184.1224782,33,17,1
1589792764.9037426,32,17,1
1589796419.9274685,30,14,0
1589799981.1511326,33,14,0
1589803645.1791224,29,13,0
1589807242.80011,29,13,0
1589810787.667226,30,14,0
1589814357.5324674,33,12,0
1589817974.2608492,35,13,0
1589821584.169571,35,13,0
1589825181.4526007,26,12,1
1589828761.6108751,29,16,1
1589832410.18164,30,16,0
1589835943.7585137,30,17,1
1589839543.6336303,27,17,1
1589843148.3878975,27,17,1
1589847317.20973,27,17,1
1589850616.687687,27,17,1
1589854129.3315926,27,17,1
1589857582.6416998,27,17,1
1589861206.0650713,27,18,1
1589864911.0762355,33,15,0
1589868517.5084748,33,12,0
1589872103.6184478,33,11,0
1589875585.3682377,30,12,0
1589879243.034175,32,12,0
1589882833.3941853,30,13,0
1589886411.8809705,28,14,1
1589890066.570768,28,15,1
1589893555.1454816,33,14,0
1589897234.6390853,29,18,0
1589900775.5291903,29,18,1
1589904644.9245453,33,14,1
1589908022.1238995,33,18,1
1589911603.4598544,30,17,0
1589915199.777886,30,17,0
1589918818.0053582,28,17,0
1589922461.6147385,28,17,0
1589925975.2262168,28,17,0
1589929543.0314736,28,17,0
1589933701.034116,28,17,0
1589936850.5946596,28,17,0
1589940398.3314998,28,17,0
1589944074.0662508,30,16,0
1589947677.6959367,31,15,0
1589951150.7866886,29,15,0
1589954910.7065175,29,14,0
1589958447.056074,30,12,0
1589962012.595781,28,10,0
1589965555.9708428,29,12,0
1589969160.915225,31,10,1
1589972770.272508,34,12,1
1589976537.1751747,36,10,1
1589990776.077216,31,15,1
1589994378.7457457,30,15,1
1589997973.9581873,32,16,1
1590001544.500657,32,16,1
1590005213.6195753,30,15,0
1590008775.7239203,30,17,1
1590012419.723378,31,15,0
1590015979.5926113,31,15,0
1590020118.347043,31,15,0
1590023190.3226283,31,15,0
1590026903.791796,31,15,0
1590030373.7124963,31,15,0
1590034093.7668366,31,15,0
1590037631.9003456,31,15,0
1590041202.9684737,28,15,0
1590044818.5083086,28,16,0
1590048376.9195836,27,13,0
1590051963.127958,29,15,1
1590055569.7134054,30,14,0
1590059178.243183,31,13,0
1590062846.9150445,30,12,0
1590066377.3266997,29,13,0
1590069956.762659,32,13,0
1590073617.6301157,33,14,0
1590077212.2092664,33,15,0
1590080792.9852211,32,18,0
1590084482.3636227,31,19,0
1590087991.2184806,32,18,0
